148,New Zealand,-40.900557,174.885971
149,Nicaragua,12.865416,-85.207229
150,Niger,17.607789,8.081666
151,Nigeria,9.081999,8.675277
152,Niue,-19.054445,-169.867233
153,Northern Mariana Islands,17.33083,145.38469
154,Norway,60.472024,8.468946
155,Oman,21.512583,55.923255
156,Pakistan,30.375321,69.345116
157,Palau,7.51498,134.58252
158,Panama,8.537981,-80.782127
159,Papua New Guinea,-6.314993,143.95555
160,Paraguay,-23.442503,-58.443832
161,Peru,-9.189967,-75.015152
162,Philippines,12.879721,121.774017
163,Poland,51.919438,19.145136
164,Portugal,39.399872,-8.224454
165,Puerto Rico,18.220833,-66.590149
166,Qatar,25.354826,51.183884
167,Republic of Korea,35.907757,127.766922
168,Republic of Moldova,47.411631,28.369885
169,Reunion,-21.115141,55.536384
170,Romania,45.943161,24.96676
171,Russian Federation,61.52401,105.318756
172,Rwanda,-1.940278,29.873888
173,Saint Helena,-24.143474,-10.030696
174,Saint Kitts and Nevis,17.357822,-62.782998
175,Saint Lucia,13.909444,-60.978893
176,Saint Pierre and Miquelon,46.941936,-56.27111
177,Saint Vincent and the Grenadines,12.984305,-61.287228
178,Samoa,-13.759029,-172.104629
179,San Marino,43.94236,12.457777
180,Sao Tome and Principe,0.18636,6.613081
181,Saudi Arabia,23.885942,45.079162
182,Senegal,14.497401,-14.452362
183,Serbia,44.016521,21.005859
184,Seychelles,-4.679574,55.491977
185,Sierra Leone,8.460555,-11.779889
186,Singapore,1.352083,103.819836
187,Sint Maarten (Dutch part),18.03333333,-63.05
188,Slovakia,48.669026,19.699024
189,Slovenia,46.151241,14.995463
190,Solomon Islands,-9.64571,160.156194
191,Somalia,5.152149,46.199616
192,South Africa,-30.559482,22.937506
193,South Sudan,-54.429579,-36.587909
194,Spain,40.463667,-3.74922
195,Sri Lanka,7.873054,80.771797
196,State of Palestine,31.952162,35.233154
197,Sudan,12.862807,30.217636
198,Suriname,3.919305,-56.027783
199,Swaziland,-26.522503,31.465866
200,Sweden,60.128161,18.643501
201,Switzerland,46.818188,8.227512
202,Syrian Arab Republic,34.802075,38.996815
203,Tajikistan,38.861034,71.276093
204,Thailand,15.870032,100.992541
205,The former Yugoslav Republic of Macedonia,41.608635,21.745275
206,Timor-Leste,-8.874217,125.727539
207,Togo,8.619543,0.824782
208,Tokelau,-8.967363,-171.855881
209,Tonga,-21.178986,-175.198242
210,Trinidad and Tobago,10.691803,-61.222503
211,Tunisia,33.886917,9.537499
212,Turkey,38.963745,35.243322
213,Turkmenistan,38.969719,59.556278
214,Turks and Caicos Islands,21.694025,-71.797928
215,Tuvalu,-7.109535,177.64933
216,Uganda,1.373333,32.290275
217,Ukraine,48.379433,31.16558
218,United Arab Emirates,23.424076,53.847818
219,United Kingdom of Great Britain and Northern Ireland,55.378051,-3.435973
220,United Republic of Tanzania,-6.369028,34.888822
221,United States of America,37.09024,-95.712891
222,United States Virgin Islands,18.335765,-64.896335
223,Uruguay,-32.522779,-55.765835
224,Uzbekistan,41.377491,64.585262
225,Vanuatu,-15.376706,166.959158
226,Venezuela (Bolivarian Republic of),6.42375,-66.58973
227,Viet Nam,14.058324,108.277199
228,Wallis and Futuna Islands,-13.768752,-177.156097
229,Western Sahara,24.215527,-12.885834
230,Yemen,15.552727,48.516388
231,Zambia,-13.133897,27.849332
232,Zimbabwe,-19.015438,29.154857
