Country_Name,GDP_2000
"Macao SAR, China",14127.56667
St. Martin (French part),
Morocco,1328.172963
Monaco,82537.44647
Moldova,354.0037319
Madagascar,246.2826349
Maldives,2182.997011
Middle East & North Africa,3064.004666
Mexico,6649.716383
Marshall Islands,2126.832308
Middle income,1264.163473
"Macedonia, FYR",1875.127132
Mali,267.4164347
Malta,11039.05651
Myanmar,186.8073255
Middle East & North Africa (excluding high income),1620.734388
Montenegro,1627.042893
Mongolia,474.2129405
Northern Mariana Islands,
Mozambique,274.6562556
Mauritania,477.1129881
Mauritius,3861.032414
Malawi,155.7643582
Malaysia,4004.557191
North America,35242.0642
Namibia,2059.409015
New Caledonia,12579.59511
Niger,160.2183423
Nigeria,377.5003931
Nicaragua,1016.021552
Netherlands,25921.12794
Norway,38146.71539
Nepal,231.4329676
Nauru,
New Zealand,13641.10272
OECD members,23634.66404
Oman,8710.987805
Other small states,4361.931253
Pakistan,534.915837
Panama,4062.438603
Peru,1996.719997
Philippines,1039.701796
Palau,7786.586002
Papua New Guinea,655.2502302
Poland,4492.727604
Pre-demographic dividend,383.3041392
Puerto Rico,16192.1296
"Korea, Dem. PeopleÅEEs Rep.",
Portugal,11502.39681
Paraguay,1545.625548
West Bank and Gaza,1476.171852
Pacific island small states,1756.132746
Post-demographic dividend,25751.62542
French Polynesia,14530.22602
Qatar,29926.36335
Romania,1668.162731
Russian Federation,1771.586602
Rwanda,216.2759036
South Asia,453.9946409
Saudi Arabia,8808.875367
Sudan,352.5015707
Senegal,474.5771245
Singapore,23792.60707
Solomon Islands,1055.216749
Sierra Leone,156.5918666
El Salvador,2259.888269
San Marino,28224.20286
Somalia,
Serbia,870.1365252
Sub-Saharan Africa (excluding high income),549.4509994
South Sudan,
Sub-Saharan Africa,550.3105793
Small states,4323.746923
Sao Tome and Principe,
Suriname,1855.77231
Slovak Republic,5402.929754
Slovenia,10227.73677
Sweden,29283.00505
Swaziland,1602.93246
Sint Maarten (Dutch part),
Seychelles,7578.851053
Syrian Arab Republic,1181.719202
Turks and Caicos Islands,
Chad,166.0080155
East Asia & Pacific (IDA & IBRD countries),967.807039
Europe & Central Asia (IDA & IBRD countries),2034.245387
Togo,265.5016597
Thailand,2016.041015
Tajikistan,139.1091434
Turkmenistan,645.2771015
Latin America & the Caribbean (IDA & IBRD countries),4219.465364
Timor-Leste,434.37974
Middle East & North Africa (IDA & IBRD countries),1622.095165
Tonga,2067.085049
South Asia (IDA & IBRD),453.9946409
Sub-Saharan Africa (IDA & IBRD countries),550.3105793
Trinidad and Tobago,6430.967549
Tunisia,2213.915229
Turkey,4215.162413
Tuvalu,1458.971977
Tanzania,308.4062816
Uganda,260.6844737
Ukraine,635.7089635
Upper middle income,1955.883224
Uruguay,6871.903885
United States,36449.85512
Uzbekistan,558.221144
St. Vincent and the Grenadines,3672.669305
"Venezuela, RB",4784.87158
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,433.3337078
Vanuatu,1469.888862
World,5485.130385
Samoa,1540.65373
Kosovo,1087.762401
"Yemen, Rep.",541.5129915
South Africa,3037.223609
Zambia,340.1613797
Zimbabwe,535.1974215
