Country_Name,GDP_2000
Aruba,20619.56585
Afghanistan,
Angola,606.2696254
Albania,1175.788981
Andorra,21432.97646
Arab World,2607.366002
United Arab Emirates,34207.53895
Argentina,7669.273709
Armenia,621.4248263
American Samoa,
Antigua and Barbuda,10094.75906
Australia,21665.11545
Austria,24517.26745
Azerbaijan,655.0974326
Burundi,128.6355365
Belgium,23207.40591
Benin,369.7008681
Burkina Faso,226.4759423
Bangladesh,406.5317405
Bulgaria,1609.280586
Bahrain,13590.52105
"Bahamas, The",21241.16539
Bosnia and Herzegovina,1451.664002
Belarus,1276.288
Belize,3364.464523
Bermuda,56284.16865
Bolivia,1007.002869
Brazil,3728.50801
Barbados,11568.49594
Brunei Darussalam,18154.83493
Bhutan,778.391266
Botswana,3333.17955
Central African Republic,245.4343849
Canada,24124.16917
Central Europe and the Baltics,3943.98781
Switzerland,37813.23426
Channel Islands,43299.40114
Chile,5229.177098
China,959.3721081
Cote d'Ivoire,648.8107641
Cameroon,583.0948382
"Congo, Dem. Rep.",397.264871
"Congo, Rep.",1035.584462
Colombia,2472.19777
Comoros,372.1890022
Cabo Verde,1229.044456
Costa Rica,3808.356898
Caribbean small states,4981.38722
Cuba,2749.481482
Curacao,
Cayman Islands,
Cyprus,14672.88206
Czech Republic,5994.528277
Germany,23718.7467
Djibouti,762.8838243
Dominica,4819.900039
Denmark,30743.55917
Dominican Republic,2802.419715
Algeria,1757.01791
East Asia & Pacific (excluding high income),957.6500182
Early-demographic dividend,1322.485645
East Asia & Pacific,4049.119532
Europe & Central Asia (excluding high income),1762.155314
Europe & Central Asia,11603.10361
Ecuador,1451.290776
"Egypt, Arab Rep.",1461.018259
Euro area,20189.36513
Eritrea,199.8131951
Spain,14676.70609
Estonia,4070.031904
Ethiopia,124.0509505
European Union,18229.78042
Fragile and conflict affected situations,631.2127914
Finland,24253.25042
Fiji,2076.013308
France,22465.64184
Faroe Islands,22850.44296
"Micronesia, Fed. Sts.",2170.960626
Gabon,4115.036784
United Kingdom,27769.93125
Georgia,691.9977101
Ghana,264.7025762
Gibraltar,
Guinea,340.414229
"Gambia, The",637.1055215
Guinea-Bissau,281.4036603
Equatorial Guinea,1970.251229
Greece,12042.95373
Grenada,5117.539563
Greenland,19004.00345
Guatemala,1650.22565
Guam,
Guyana,960.1867601
High income,25663.61964
"Hong Kong SAR, China",25756.66378
Honduras,1137.824518
Heavily indebted poor countries (HIPC),327.0457016
Croatia,4919.628069
Haiti,462.4805442
Hungary,4623.406712
IBRD only,1478.338323
IDA & IBRD total,1226.301049
IDA total,406.4031481
IDA blend,506.9303254
Indonesia,780.0920781
IDA only,348.976243
Isle of Man,20358.66729
India,452.4135847
Not classified,
Ireland,26241.91849
"Iran, Islamic Rep.",1664.26127
Iraq,
Iceland,31813.37344
Israel,21052.10432
Italy,20051.2426
Jamaica,3434.249741
Jordan,1774.088393
Japan,38532.04088
Kazakhstan,1229.000958
Kenya,408.9818683
Kyrgyz Republic,279.6205233
Cambodia,299.5622376
Kiribati,796.7937634
St. Kitts and Nevis,9223.756223
"Korea, Rep.",11947.57725
Kuwait,19545.19345
Latin America & Caribbean (excluding high income),4131.759198
Lao PDR,324.0196947
Lebanon,5334.880244
Liberia,182.9427573
Libya,7170.379234
St. Lucia,4975.472098
Latin America & Caribbean,4303.927314
Least developed countries: UN classification,311.4735097
Low income,267.5271518
Liechtenstein,74633.52872
Sri Lanka,875.412178
Lower middle income,574.7138674
Low & middle income,1179.761456
Lesotho,478.0106195
Late-demographic dividend,1665.329002
Lithuania,3297.354701
Luxembourg,48992.27557
Latvia,3352.731296
