Country_Name,Unemployment_Percentage_2015
"Venezuela, RB",6.820000172
British Virgin Islands,
Virgin Islands (U.S.),9.208000183
Vietnam,2.119999886
Vanuatu,5.278999805
World,5.710711182
Samoa,7.729000092
Kosovo,
"Yemen, Rep.",18.11199951
South Africa,25.14999962
Zambia,7.626999855
Zimbabwe,5.114999771
