Country_Name,Unemployment_Percentage_2000
Aruba,
Afghanistan,1.129999995
Angola,6.81099987
Albania,14.14799976
Andorra,
Arab World,13.07560646
United Arab Emirates,2.299999952
Argentina,15.02000046
Armenia,18.01600075
American Samoa,
Antigua and Barbuda,
Australia,6.282999992
Austria,4.686999798
Azerbaijan,11.80000019
Burundi,1.649000049
Belgium,6.585999966
Benin,0.797999978
Burkina Faso,2.740999937
Bangladesh,3.269999981
Bulgaria,16.21800041
Bahrain,1.421000004
"Bahamas, The",7.604000092
Bosnia and Herzegovina,21.75499916
Belarus,0.675000012
Belize,10.75399971
Bermuda,
Bolivia,4.800000191
Brazil,13.97599983
Barbados,9.300000191
Brunei Darussalam,3.24000001
Bhutan,1.699000001
Botswana,15.80000019
Central African Republic,6.709000111
Canada,6.800000191
Central Europe and the Baltics,12.4186997
Switzerland,2.665999889
Channel Islands,8.357000351
Chile,9.161999702
China,4.53000021
Cote d'Ivoire,9.149000168
Cameroon,6.486000061
"Congo, Dem. Rep.",3.586999893
"Congo, Rep.",16.03300095
Colombia,20.5
Comoros,20.27099991
Cabo Verde,11.0010004
Costa Rica,5.081999779
Caribbean small states,13.28696666
Cuba,5.400000095
Curacao,
Cayman Islands,
Cyprus,4.967000008
Czech Republic,8.762000084
Germany,7.916999817
Djibouti,6.915999889
Dominica,
Denmark,4.475999832
Dominican Republic,14.19999981
Algeria,29.77000046
East Asia & Pacific (excluding high income),4.604478061
Early-demographic dividend,6.219754875
East Asia & Pacific,4.625426254
Europe & Central Asia (excluding high income),10.14730409
Europe & Central Asia,9.601672664
Ecuador,9
"Egypt, Arab Rep.",9
Euro area,9.524720229
Eritrea,7.596000195
Spain,13.78499985
Estonia,13.35999966
Ethiopia,5.153999805
European Union,9.333756999
Fragile and conflict affected situations,6.248168641
Finland,11.13500023
Fiji,7.781000137
France,10.74300003
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,17.11499977
United Kingdom,5.561999798
Georgia,10.81999969
Ghana,10.35999966
Gibraltar,
Guinea,6.811999798
"Gambia, The",30.05500031
Guinea-Bissau,6.665999889
Equatorial Guinea,7.666999817
Greece,11.24800014
Grenada,
Greenland,
Guatemala,1.399999976
Guam,15.30000019
Guyana,11.58600044
High income,6.638837442
"Hong Kong SAR, China",4.920000076
Honduras,3.865999937
