Country_Name,Unemployment_Percentage_2000
Heavily indebted poor countries (HIPC),6.70385082
Croatia,15.89999962
Haiti,8.072999954
Hungary,6.563000202
IBRD only,6.673180514
IDA & IBRD total,6.461213506
IDA total,5.64553535
IDA blend,5.804182112
Indonesia,6.099999905
IDA only,5.562874858
Isle of Man,
India,4.309999943
Not classified,
Ireland,4.31799984
"Iran, Islamic Rep.",11.78499985
Iraq,17.03199959
Iceland,1.93599999
Israel,11.10200024
Italy,10.84200001
Jamaica,15.5
Jordan,13.69999981
Japan,4.699999809
Kazakhstan,12.80000019
Kenya,8.631999969
Kyrgyz Republic,7.5
Cambodia,2.5
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",4.400000095
Kuwait,0.800000012
Latin America & Caribbean (excluding high income),10.94083595
Lao PDR,1.883999944
Lebanon,8.791999817
Liberia,4.537000179
Libya,19.34700012
St. Lucia,16.5
Latin America & Caribbean,10.90434798
Least developed countries: UN classification,5.074317292
Low income,5.30448793
Liechtenstein,
Sri Lanka,7.699999809
Lower middle income,5.702634583
Low & middle income,6.351848902
Lesotho,26.20999908
Late-demographic dividend,6.394190666
Lithuania,15.93099976
Luxembourg,2.345000029
Latvia,14.21100044
"Macao SAR, China",6.699999809
St. Martin (French part),
Morocco,13.60000038
Monaco,
Moldova,8.5
Madagascar,5.800000191
Maldives,1.970000029
Middle East & North Africa,12.70494081
Mexico,2.563999891
Marshall Islands,
Middle income,6.440519308
"Macedonia, FYR",32.20000076
Mali,7.945000172
Malta,6.322999954
Myanmar,0.885999978
Middle East & North Africa (excluding high income),13.85257004
Montenegro,19.32900047
Mongolia,4.599999905
Northern Mariana Islands,
Mozambique,23.24200058
Mauritania,19.10000038
Mauritius,8.800000191
Malawi,7.413000107
Malaysia,3
North America,4.277489548
Namibia,20.29999924
New Caledonia,14.32400036
Niger,3.825999975
Nigeria,6.702000141
Nicaragua,9.800000191
Netherlands,2.724999905
Norway,3.457999945
Nepal,2.04399991
Nauru,
New Zealand,6.137000084
OECD members,6.293956164
Oman,19.52700043
Other small states,13.57779555
Pakistan,7.159999847
Panama,13.5
Peru,7.340000153
Philippines,11.18999958
Palau,
Papua New Guinea,2.859999895
Poland,16.31299973
Pre-demographic dividend,7.257409472
Puerto Rico,10.07999992
"Korea, Dem. PeopleÅEs Rep.",4.453999996
Portugal,3.819999933
Paraguay,7.599999905
West Bank and Gaza,14.22000027
Pacific island small states,13.31164394
Post-demographic dividend,6.448115032
French Polynesia,17.31699944
Qatar,1.422999978
Romania,6.967000008
Russian Federation,10.58100033
Rwanda,3.315000057
South Asia,4.385139065
Saudi Arabia,4.570000172
Sudan,14.6260004
Senegal,9.880999565
Singapore,3.700000048
Solomon Islands,32.34899902
Sierra Leone,3.135999918
El Salvador,7
San Marino,
Somalia,6.670000076
Serbia,12.60000038
Sub-Saharan Africa (excluding high income),8.351144564
South Sudan,
Sub-Saharan Africa,8.351144564
Small states,13.49601996
Sao Tome and Principe,14.42000008
Suriname,10.92500019
Slovak Republic,19.06200027
Slovenia,6.918000221
Sweden,5.46600008
Swaziland,22.86700058
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,9.562999725
Turks and Caicos Islands,
Chad,5.643000126
East Asia & Pacific (IDA & IBRD countries),4.606609197
Europe & Central Asia (IDA & IBRD countries),10.74813242
Togo,7.001999855
Thailand,2.390000105
Tajikistan,11.80500031
Turkmenistan,9.213000298
Latin America & the Caribbean (IDA & IBRD countries),11.02801262
Timor-Leste,5.804999828
Middle East & North Africa (IDA & IBRD countries),13.84987075
Tonga,5.229000092
South Asia (IDA & IBRD),4.385139065
Sub-Saharan Africa (IDA & IBRD countries),8.351144564
Trinidad and Tobago,12.10000038
Tunisia,15.69999981
Turkey,6.494999886
Tuvalu,
Tanzania,3.325999975
Uganda,1.674999952
Ukraine,11.60000038
Upper middle income,7.008052628
Uruguay,13.32999992
United States,4
Uzbekistan,9.282999992
St. Vincent and the Grenadines,20.29899979
"Venezuela, RB",13.19999981
British Virgin Islands,
Virgin Islands (U.S.),8.654999733
Vietnam,2.299999952
Vanuatu,5.724999905
World,6.40518785
Samoa,5.093999863
Kosovo,
"Yemen, Rep.",11.57999992
South Africa,26.70000076
Zambia,12.93000031
Zimbabwe,4.751999855
